country1,country2,length
AL,GR,282.0
AL,MK,151.0
AL,MNE,172.0
AL,KOS,112.0
GR,MK,228.0
GR,TR,206.0
MK,SRB,62.0
MNE,SRB,124.0
KOS,MNE,79.0
KOS,SRB,352.0
KOS,MK,159.0
AND,F,60.0
AND,E,65.0
F,I,488.0
F,L,73.0
F,MC,4.4
E,F,623.0
E,GBZ,1.2
E,P,1214.0
A,CZ,362.0
A,D,784.0
A,H,366.0
A,I,430.0
A,FL,37.0
A,SK,91.0
A,SLO,324.0
A,CH,164.0
CZ,D,646.0
CZ,SK,215.0
CZ,PL,658.0
D,F,451.0
D,PL,456.0
D,L,138.0
D,NL,577.0
D,DK,68.0
H,SRB,151.0
H,SK,515.0
H,SLO,102.0
H,UA,103.0
H,HR,329.0
H,RO,443.0
I,SLO,235.0
I,V,3.2
I,RSM,39.0
SK,UA,90.0
CH,F,573.0
CH,D,334.0
CH,I,740.0
CH,FL,41.0
BY,LV,141.0
BY,LT,502.0
BY,PL,605.0
BY,UA,891.0
BY,R,959.0
LV,R,217.0
LT,LV,453.0
LT,PL,91.0
LT,R,227.0
PL,SK,444.0
PL,UA,428.0
PL,R,206.0
R,UA,1576.0
R,SF,1313.0
R,TJ,3645.0
B,F,620.0
B,D,167.0
B,L,148.0
B,NL,450.0
BIH,SRB,302.0
BIH,KOS,225.0
BIH,HR,932.0
HR,SRB,241.0
HR,MNE,25.0
HR,SLO,546.0
BG,GR,494.0
BG,MK,148.0
BG,SRB,318.0
BG,RO,608.0
BG,TR,240.0
RO,SRB,476.0
RO,UA,531.0
EW,LV,267.0
EW,R,290.0
N,R,167.0
N,SF,729.0
N,S,1619.0
S,SF,586.0
MD,UA,939.0
MD,RO,450.0
GB,IRL,360.0
AFG,TJ,76.0
AFG,IR,936.0
AFG,PK,2430.0
AFG,TAD,1206.0
AFG,TM,744.0
AFG,UZB,137.0
TJ,VN,1281.0
IR,TR,499.0
IR,PK,909.0
IR,TM,992.0
IR,IRQ,1458.0
PK,TJ,523.0
TAD,TJ,414.0
TAD,UZB,1161.0
TM,UZB,1621.0
ARM,TR,268.0
ARM,IR,35.0
ARM,GE,164.0
ARM,AZ,787.0
GE,R,723.0
GE,TR,252.0
AZ,R,284.0
AZ,TR,9.0
AZ,IR,611.0
AZ,GE,322.0
BD,MYA,193.0
BD,IND,4053.0
MYA,TJ,2185.0
MYA,THA,1800.0
IND,TJ,3380.0
IND,PK,2912.0
IND,MYA,1463.0
IND,NEP,1690.0
BHT,TJ,470.0
BHT,IND,605.0
BRU,MAL,381.0
MAL,THA,506.0
MAL,RI,1782.0
LAO,TJ,423.0
LAO,MYA,235.0
LAO,THA,1754.0
LAO,VN,2130.0
K,LAO,541.0
K,THA,803.0
K,VN,1228.0
KAZ,R,6846.0
KAZ,TJ,1533.0
KAZ,TM,379.0
KAZ,UZB,2203.0
KAZ,KGZ,1051.0
NOK,R,19.0
NOK,TJ,1416.0
NOK,ROK,238.0
KGZ,TJ,858.0
KGZ,TAD,870.0
KGZ,UZB,1099.0
HONX,TJ,30.0
MACX,TJ,0.34
MNG,R,3441.0
MNG,TJ,4673.0
NEP,TJ,1236.0
IL,JOR,238.0
IL,SYR,76.0
IL,RL,79.0
ET,IL,255.0
ET,LAR,1150.0
ET,SUD,1273.0
RI,TL,228.0
PNG,RI,820.0
IRQ,TR,331.0
IRQ,JOR,181.0
IRQ,KWT,242.0
IRQ,SA,814.0
IRQ,SYR,605.0
JOR,SA,728.0
JOR,SYR,375.0
KWT,SA,222.0
SA,UAE,457.0
SA,YE,1458.0
SYR,TR,822.0
RL,SYR,375.0
OM,SA,676.0
OM,UAE,410.0
OM,YE,288.0
Q,SA,60.0
BZ,GCA,266.0
BZ,MEX,250.0
GCA,MEX,962.0
GCA,HCA,256.0
MEX,USA,3326.0
CDN,USA,8893.0
CR,NIC,309.0
CR,PA,330.0
DOM,RH,275.0
ES,GCA,203.0
ES,HCA,342.0
HCA,NIC,922.0
NA,SMAR,15.0
CO,PA,225.0
CO,PE,2900.0
CO,YV,2050.0
CO,EC,590.0
RA,RCH,5150.0
RA,ROU,579.0
BOL,RA,832.0
BOL,BR,3400.0
BOL,RCH,861.0
BOL,PY,750.0
BOL,PE,900.0
BR,CO,1643.0
BR,RA,1224.0
BR,PY,1290.0
BR,ROU,985.0
BR,PE,1560.0
BR,FGU,673.0
BR,GUY,1119.0
BR,SME,597.0
BR,YV,2200.0
PY,RA,1880.0
PE,RCH,160.0
FGU,SME,510.0
GUY,SME,600.0
GUY,YV,743.0
